FR,GB
aller,go
objectif,goal
chèvre,goat
dieu,god
putain,goddamn
déesse,goddess
dieux,gods
se rend,goes
va dans,goin
Aller,going
or,gold
d'or,golden
le golf,golf
disparu,gone
va,gonna
bien,good
au revoir,good-bye
au revoir,goodbye
bonté,goodness
Bonsoir,goodnight
des biens,goods
oie,goose
gordon,gordon
magnifique,gorgeous
gosh,gosh
potins,gossip
a obtenu,got
Je dois,gotta
se promener,gotten
gouvernement,government
gouverneur,governor
saisir,grab
saisi,grabbed
la grâce,grace
noter,grade
diplômé,graduate
graham,graham
grandiose,grand
grand-père,grandfather
grand-mère,grandma
grand-mère,grandmother
grand-père,grandpa
petit fils,grandson
mamie,granny
accorder,grant
accordé,granted
herbe,grass
reconnaissant,grateful
la tombe,grave
la gravité,gravity
grise,gray
génial,great
plus grand,greater
le plus grand,greatest
grec,greek
vert,green
salutations,greetings
greg,greg
faire grandir,grew
gris,grey
douleur,grief
saisir,grip
gémissant,groaning
gémissements,groans
marié,groom
brut,gross
terrain,ground
terrains,grounds
groupe,group
groupes,groups
grandir,grow
croissance,growing
grondement,growling
grognements,growls
cultivé,grown
grandir,grows
grognement,grunting
grogner,grunts
garantie,guarantee
gardien,guard
Gardien,guardian
gardes,guards
deviner,guess
devinant,guessing
invité,guest
invités,guests
guide,guide
culpabilité,guilt
coupable,guilty
guitare,guitar
gencive,gum
pistolet,gun
fusillade,gunfire
canons,guns
coup de feu,gunshot
coups de feu,gunshots
gus,gus
intestin,gut
entrailles,guts
mec,guy
les mecs,guys
Gym,gym
H,h
Ha,ha
habitude,habit
avais,had
n'avoir pas,hadn
grêle,hail
Cheveu,hair
demi,half
à mi-chemin,halfway
salle,hall
Halloween,halloween
arrêt,halt
jambon,ham
marteau,hammer
Han,han
main,hand
remis,handed
manipuler,handle
manipulé,handled
manutention,handling
mains,hands
Beau,handsome
pendre,hang
suspendu,hanging
hanche,hank
Hannah,hannah
se produire,happen
passé,happened
événement,happening
arrive,happens
plus heureux,happier
Heureusement,happily
Bonheur,happiness
heureux,happy
dur,hard
Plus fort,harder
à peine,hardly
préjudice,harm
Harold,harold
Harper,harper
Harris,harris
harceler,harry
dur,harsh
Harvey,harvey
a,has
hasé,hasn
chapeau,hat
détester,hate
détesté,hated
déteste,hates
haine,hatred
ont,have
havre,haven
ayant,having
il,he
tête,head
mal de tête,headache
à tête,headed
titre,heading
quartier général,headquarters
têtes,heads
guérir,heal
santé,health
en bonne santé,healthy
écouter,hear
entendu,heard
audience,hearing
cœur,heart
cœurs,hearts
Chauffer,heat
chauffage,heather
paradis,heaven
cieux,heavens
fortement,heavily
lourd,heavy
Zut,heck
Hector,hector
talons,heels
il h,heh
la taille,height
tenu,held
Helen,helen
hélicoptère,helicopter
enfer,hell
bonjour,hello
casque,helmet
aider,help
aidé,helped
utile,helpful
portion,helping
aider,helps
Henri,henry
son,her
Hercule,hercules
ici,here
héros,hero
héros,heroes
héroïne,heroin
Herr,herr
la sienne,hers
se,herself
hé,hey
salut,hi
se cacher,hid
caché,hidden
cacher,hide
cache,hiding
haute,high
plus haut,higher
le plus élevé,highest
très,highly
altesse,highness
Autoroute,highway
colline,hill
collines,hills
lui,him
lui-même,himself
hanche,hip
embaucher,hire
embauché,hired
le sien,his
l'histoire,history
succès,hit
Hitler,hitler
les coups,hits
frappe,hitting
HM,hm
hmm,hmm
ho,ho
tenir,hold
holding,holding
cale,holds
trou,hole
des trous,holes
vacance,holiday
vacances,holidays
houx,holly
Hollywood,hollywood
Holmes,holmes
saint,holy
domicile,home
sans-abri,homeless
Homère,homer
maisons,homes
devoirs,homework
homicide,homicide
son,hon
honnête,honest
franchement,honestly
Miel,honey
voyage de noces,honeymoon
hong,hong
klaxon,honking
honneur,honor
honoré,honored
honneur,honour
capot,hood
accrocher,hook
accroché,hooked
saut,hop
espoir,hope
espéré,hoped
avec un peu de chance,hopefully
désespéré,hopeless
espoir,hopes
en espérant,hoping
klaxon,horn
horrible,horrible
horreur,horror
cheval,horse
les chevaux,horses
hôpital,hospital
héberger,host
otage,hostage
chaud,hot
Hôtel,hotel
heure,hour
heures,hours
loger,house
Maisons,houses
comment,how
howard,howard
toutefois,however
étreinte,hug
énorme,huge
hein,huh
Humain,human
humanité,humanity
humains,humans
humble,humble
bourdonnement,humming
humour,humor
cent,hundred
centaines,hundreds
suspendu,hung
faim,hunger
faim,hungry
chasse,hunt
chasseur,hunter
chasse,hunting
dépêche toi,hurry
blesser,hurt
blessé,hurting
fait mal,hurts
mari,husband
cabane,hut
je,i
je,i
je-,i-
i-i,i-i
je.,i.
identifiant.,i.d.
je suis,I'm
j'ai,i've
Ian,ian
la glace,ice
identifiant,id
idée,idea
idéal,ideal
idées,ideas
identifié,identified
identité,identify
identité,identity
idiot,idiot
idiots,idiots
si,if
ignorer,ignore
ii,ii
ii,ii
iike,iike
malade,ill
illégal,illegal
maladies,illness
image,image
images,images
imagination,imagination
imaginer,imagine
imaginé,imagined
immédiat,immediate
immédiatement,immediately
immunité,immunity
impact,impact
impérial,imperial
importance,importance
important,important
impossible,impossible
impressionner,impress
impressionné,impressed
impression,impression
Impressionant,impressive
améliorer,improve
dans,in
pouce,inch
pouces,inches
incident,incident
comprendre,include
y compris,including
augmenter,increase
incroyable,incredible
incroyablement,incredibly
En effet,indeed
indépendant,independent
Inde,india
Indien,indian
Indiens,indians
indistinct,indistinct
indistinctement,indistinctly
individuel,individual
industrie,industry
infecté,infected
infection,infection
rayonnement,influence
informer,inform
informations,information
informé,informed
blessée,injured
blessures,injuries
blessure,injury
auberge,inn
intérieur,inner
innocent,innocent
fou,insane
à l'intérieur,inside
insister,insist
insisté,insisted
inspecteur,inspector
inspiré,inspired
exemple,instance
instantané,instant
Au lieu,instead
des instructions,instructions
instrumental,instrumental
insulte,insult
Assurance,insurance
intelligence,intelligence
intelligente,intelligent
intention,intend
prévu,intended
intense,intense
intention,intention
intérêt,interest
intéressé,interested
intéressant,interesting
intérêts,interests
interférer,interfere
interne,internal
international,international
l'Internet,internet
couper la parole,interrupt
interview,interview
dans,into
introduire,introduce
présenté,introduced
a inventé,invented
enquêter,investigate
enquêteur,investigating
enquête,investigation
investissement,investment
invisible,invisible
invitation,invitation
inviter,invite
invité,invited
impliqué,involved
Irak,iraq
irlandais,irish
le fer,iron
est,is
île,island
îles,islands
norme,isn
Israël,israel
publier,issue
problèmes,issues
ce,it
italien,italian
Italie,italy
Objet,item
éléments,items
son,its
lui-même,itself
Ivan,ivan
J,j
jack,jack
veste,jacket
jackie,jackie
Jackson,jackson
Jacob,jacob
prison,jail
jake,jake
Confiture,jam
James,james
Jamie,jamie
Jeanne,jane
Janet,janet
janvier,january
Japon,japan
Japonais,japanese
Jason,jason
geai,jay
le jazz,jazz
jaloux,jealous
jean,jean
bonder,jeez
Jeff,jeff
Jen,jen
jenna,jenna
Jennifer,jennifer
Jenny,jenny
jeremy,jeremy
secousse,jerk
jerry,jerry
Jersey,jersey
Jess,jess
Jesse,jesse
Jessica,jessica
Jésus,jesus
jet,jet
Juif,jew
bijoux,jewelry
juif,jewish
les Juifs,jews
jill,jill
Jim,jim
Jimmy,jimmy
Jin,jin
Jo,jo
Joan,joan
travail,job
travaux,jobs
Joe,joe
Joey,joey
Jean,john
Johnny,johnny
Johnson,johnson
rejoindre,join
joint,joined
joindre,joining
découper,joint
plaisanter,joke
blagues,jokes
plaisanterie,joking
Jon,jon
Jonathan,jonathan
Jones,jones
Jordan,jordan
Joseph,joseph
Josh,josh
journaliste,journalist
périple,journey
joie,joy
juan,juan
juge,judge
juges,judges
jugement,judging
jugement,judgment
Judy,judy
jus,juice
jules,jules
Julia,julia
julien,julian
Julie,julie
juillet,july
saut,jump
sauté,jumped
saut,jumping
juin,june
jungle,jungle
junior,junior
déchet,junk
jury,jury
juste,just
juste-,just-
Justice,justice
Justin,justin
k,k
kang,kang
Karen,karen
karl,karl
Kate,kate
Katie,katie
enthousiaste,keen
donjon,keep
en gardant,keeping
garder,keeps
Keith,keith
kelly,kelly
ken,ken
Kenny,kenny
Kent,kent
gardé,kept
Kevin,kevin
clé,key
clés,keys
khan,khan
donner un coup,kick
botté,kicked
coup de pied,kicking
enfant,kid
plaisanter,kidding
kidnappé,kidnapped
enlèvement,kidnapping
des gamins,kids
tuer,kill
tué,killed
tueur,killer
tueurs,killers
meurtre,killing
tueries,kills
kim,kim
gentil,kind
en quelque sorte,kinda
gentil,kindly
la gentillesse,kindness
type,kinds
Roi,king
Royaume,kingdom
rois,kings
embrasser,kiss
embrassé,kissed
baisers,kisses
baiser,kissing
trousse,kit
cuisine,kitchen
minou,kitty
genou,knee
genoux,knees
connaissait,knew
couteau,knife
Chevalier,knight
frappe,knock
frappé,knocked
cognement,knocking
connaître,know
connaissance,knowing
connaissances,knowledge
connu,known
sache,knows
kong,kong
Corée,korea
coréen,korean
kurt,kurt
kyle,kyle
l,l
la.,l.a.
la,la
laboratoire,lab
travail,labor
manque,lack
garçon,lad
échelle,ladder
Dames,ladies
femelles,lads
la demoiselle,lady
posé,laid
Lac,lake
agneau,lamb
boiteux,lame
lampe,lamp
lance,lance
terrain,land
a atterri,landed
un atterrissage,landing
terres,lands
voie,lane
Langue,language
tour,lap
grand,large
plus grande,larger
le plus grand,largest
larry,larry
dernière,last
en retard,late
dernièrement,lately
plus tard,later
dernier,latest
Latin,latin
rire,laugh
rire,laughed
riant,laughing
des rires,laughs
rire,laughter
lancement,launch
lessive,laundry
Laura,laura
Lauren,lauren
droit,law
Lawrence,lawrence
lois,laws
avocat,lawyer
avocats,lawyers
allonger,lay
pose,laying
paresseux,lazy
le,le
conduire,lead
chef,leader
dirigeants,leaders
premier,leading
pistes,leads
ligue,league
fuite,leak
maigre,lean
apprendre,learn
appris,learned
apprentissage,learning
moins,least
cuir,leather
Pars,leave
feuilles,leaves
en quittant,leaving
conférence,lecture
LED,led
percevoir,lee
la gauche,left
jambe,leg
juridique,legal
Légende,legend
les jambes,legs
citron,lemon
prêter,lend
Leo,leo
leon,leon
Leslie,leslie
moins,less
leçon,lesson
cours,lessons
laisser,let
laisse,lets
lettre,letter
des lettres,letters
location,letting
niveau,level
niveaux,levels
Lewis,lewis
LF,lf
li,li
liam,liam
menteur,liar
liberté,liberty
bibliothèque,library
Licence,license
mentir,lie
menti,lied
mensonges,lies
lieutenant,lieutenant
la vie,life
durée de vie,lifetime
lever,lift
lumière,light
plus léger,lighter
éclair,lightning
lumières,lights
Comme,like
aimé,liked
probable,likely
aime,likes
lis,lily
limite,limit
limité,limited
limites,limits
Lincoln,lincoln
linda,linda
ligne,line
lignes,lines
lien,link
lion,lion
lèvre,lip
lèvres,lips
liquide,liquid
alcool,liquor
Lisa,lisa
liste,list
Ecoutez,listen
écouté,listened
écoute,listening
éclairé,lit
au sens propre,literally
peu,little
Direct,live
vivait,lived
foie,liver
des vies,lives
vivant,living
Liz,liz
ll,ll
lloyd,lloyd
LN,ln
à,lo
charger,load
chargé,loaded
prêt,loan
local,local
situé,located
emplacement,location
bloquer,lock
fermé à clé,locked
casier,locker
Journal,log
Logan,logan
Lois,lois
Londres,london
solitaire,lonely
long,long
plus long,longer
voir,look
avoir regardé,looked
regarder dans,lookin
en regardant,looking
regards,looks
ample,loose
seigneur,lord
los,los
perdre,lose
perdant,loser
perdus,loses
perdant,losing
perte,loss
perdu,lost
parcelle,lot
beaucoup,lots
louche,lou
fort,loud
Plus fort,louder
Louis,louis
Louise,louise
pouilleux,lousy
aimer,love
aimé,loved
joli,lovely
amoureux,lover
les amoureux,lovers
amours,loves
aimant,loving
bas,low
plus bas,lower
loyal,loyal
loyauté,loyalty
LS,ls
LT,lt
Lucas,lucas
chance,luck
Heureusement,luckily
chanceux,lucky
Lucy,lucy
bagage,luggage
luck,luke
déjeuner,lunch
poumon,lung
poumons,lungs
mensonge,lying
m,m
mâle,ma
Mac,mac
machine,machine
Machines,machines
fou,mad
madame,madam
Madame,madame
fabriqué,made
la démence,madness
magazine,magazine
Maggie,maggie
la magie,magic
magique,magical
magnifique,magnificent
Femme de ménage,maid
courrier,mail
principale,main
maintenir,maintain
majesté,majesty
Majeur,major
Fabriquer,make
fait du,makes
se maquiller,makeup
fabrication,making
malcolm,malcolm
Masculin,male
centre commercial,mall
maman,mama
homme,man
faire en sorte,manage
géré,managed
la gestion,management
gestionnaire,manager
humanité,mankind
manière,manner
manières,manners
de nombreux,many
carte,map
Mars,march
marco,marco
marcus,marcus
margaret,margaret
Maria,maria
Marie,marie
Marin,marine
Mario,mario
marque,mark
marqué,marked
marché,market
Des marques,marks
mariage,marriage
marié,married
marier,marry
se marier,marrying
Mars,mars
maréchal,marshal
maréchal,marshall
Martha,martha
martial,martial
Martin,martin
Marty,marty
Marie,mary
masque,mask
le maçon,mason
Masse,mass
massage,massage
massif,massive
Maître,master
maîtrise,masters
match,match
allumettes,matches
camarade,mate
Matériel,material
math,math
mat,matt
question,matter
questions,matters
Matthieu,matthew
max,max
peut,may
Maya,maya
peut être,maybe
maire,mayor
moi,me
repas,meal
moyenne,mean
sens,meaning
moyens,means
censé,meant
entre temps,meantime
pendant ce temps,meanwhile
mesure,measure
Viande,meat
médaille,medal
médias,media
médical,medical
médicament,medication
Médicament,medicine
rencontrer,meet
Rencontre,meeting
réunions,meetings
Megan,megan
mel,mel
mélisse,melissa
membre,member
membres,members
souvenirs,memories
Mémoire,memory
Hommes,men
mental,mental
mention,mention
mentionné,mentioned
menu,menu
miséricorde,mercy
simple,mere
seulement,merely
joyeux,merry
désordre,mess
message,message
messages,messages
fous,messed
désordre,messing
rencontré,met
métal,metal
mètres,meters
méthode,method
mexicain,mexican
Mexique,mexico
mi,mi
mia,mia
Miami,miami
Michael,michael
Michelle,michelle
Mickey,mickey
milieu,middle
minuit,midnight
force,might
puissant,mighty
Mike,mike
mile,mile
kilomètres,miles
militaire,military
Le Lait,milk
meunier,miller
million,million
des millions,millions
dérange,mind
esprit,minds
mien,mine
ministre,minister
mineure,minor
minute,minute
minutes,minutes
miracle,miracle
miroir,mirror
misérable,miserable
misère,misery
Mademoiselle,miss
manqué,missed
disparu,missing
mission,mission
erreur,mistake
se tromper,mistaken
erreurs,mistakes
Monsieur,mister
maîtresse,mistress
malentendu,misunderstanding
mitch,mitch
Mitchell,mitchell
mélanger,mix
mixte,mixed
MM,mm
mm-hm,mm-hm
mm-hmm,mm-hmm
mmm,mmm
mmm-hmm,mmm-hmm
MO,mo
gémissant,moaning
foule,mob
portable,mobile
maquette,model
des modèles,models
moderne,modern
Molly,molly
maman,mom
moment,moment
des moments,moments
maman,mommy
lun,mon
Lundi,monday
argent,money
monica,monica
moniteur,monitor
moine,monk
singe,monkey
Monsieur,monsieur
monstre,monster
monstres,monsters
mois,month
mois,months
ambiance,mood
lune,moon
moral,moral
Suite,more
Morgan,morgan
Matin,morning
imbécile,moron
Moscou,moscow
plus,most
la plupart,mostly
motel,motel
mère,mother
connard,motherfucker
mères,mothers
mouvement,motion
motif,motive
moteur,motor
moto,motorcycle
monter,mount
Montagne,mountain
montagnes,mountains
Souris,mouse
bouche,mouth
mouvement,move
déplacé,moved
mouvement,movement
se déplace,moves
film,movie
films,movies
en mouvement,moving
m,mr
m.,mr.
Madame,mrs
Madame.,mrs.
Mme,ms
m / s.,ms.
beaucoup,much
boue,mud
étouffé,muffled
plusieurs,multiple
maman,mum
Momie,mummy
meurtre,murder
assassiné,murdered
meurtrier,murderer
meurtres,murders
Murphy,murphy
le muscle,muscle
musée,museum
musique,music
musical,musical
devoir,must
incontournable,mustn
ma,my
moi même,myself
mystérieux,mysterious
mystère,mystery
n,n
n / A,na
non,nah
clou,nail
clous,nails
nu,naked
Nom,name
nommé,named
des noms,names
nancy,nancy
nounou,nanny
sieste,nap
narrateur,narrator
étroit,narrow
méchant,nasty
natalie,natalie
nate,nate
Nathan,nathan
nation,nation
nationale,national
originaire de,native
Naturel,natural
naturellement,naturally
la nature,nature
vilain,naughty
marine,navy
à proximité,near
tout près d'ici,nearby
presque,nearly
soigné,neat
nécessairement,necessarily
nécessaire,necessary
cou,neck
Collier,necklace
ned,ned
besoin,need
nécessaire,needed
aiguille,needle
Besoins,needs
négatif,negative
voisine,neighbor
quartier,neighborhood
voisins,neighbors
neil,neil
ni,neither
Nelson,nelson
neveu,nephew
nerf,nerve
nerfs,nerves
nerveux,nervous
nid,nest
rapporter,net
réseau,network
jamais,never
Nouveau,new
nouvelles,news
un journal,newspaper
journaux,newspapers
Suivant,next
agréable,nice
bien,nicely
pseudo,nick
Nicole,nicole
la nièce,niece
nigga,nigga
nuit,night
cauchemar,nightmare
nuits,nights
Nina,nina
neuf,nine
non,no
personne,no-one
non.,no.
Noé,noah
noble,noble
personne,nobody
bruit,noise
rien,none
absurdité,nonsense
midi,noon
Nan,nope
ni,nor
nora,nora
Ordinaire,normal
normalement,normally
normand,norman
Nord,north
nord,northern
nez,nose
ne pas,not
Remarque,note
Remarques,notes
rien,nothin
rien,nothing
remarquer,notice
remarqué,noticed
roman,novel
novembre,november
à présent,now
de nos jours,nowadays
nulle part,nowhere
nucléaire,nuclear
Numéro,number
Nombres,numbers
infirmière,nurse
noix,nut
des noisettes,nuts
o,o
serment,oath
obéit,obey
objet,object
objection,objection
objets,objects
observer,observe
obsédé,obsessed
évident,obvious
évidemment,obviously
occasion,occasion
eu lieu,occurred
océan,ocean
octobre,october
étrange,odd
chances,odds
de,of
à l'arrêt,off
infraction,offense
offrir,offer
offert,offered
offre,offering
Bureau,office
officier,officer
officiers,officers
officiel,official
officiellement,officially
souvent,often
oh,oh
ohh,ohh
oi,oi
pétrole,oil
d'accord,ok
d'accord,okay
Agé de,old
plus âgée,older
le plus ancien,oldest
Oliver,oliver
Olivia,olivia
sur,on
une fois que,once
une,one
ceux,ones
en ligne,online
seulement,only
sur,onto
ooh,ooh
Oops,oops
ouvert,open
ouvert,opened
ouverture,opening
ouvrir,opens
opéra,opera
fonctionner,operate
en fonctionnement,operating
opération,operation
opérations,operations
opérateur,operator
opinion,opinion
occasion,opportunity
opposé,opposite
option,option
options,options
ou,or
orange,orange
ordre,order
commandé,ordered
ordres,orders
ordinaire,ordinary
organisme,organization
organisé,organized
original,original
oscar,oscar
autre,other
les autres,others
Par ailleurs,otherwise
Aie,ouch
devrait,ought
notre,our
les notres,ours
nous-mêmes,ourselves
dehors,out
tenue,outfit
à l'extérieur,outside
sortir,outta
four,oven
plus de,over
ow,ow
devoir,owe
owen,owen
posséder,own
propriétaire,owned
propriétaire,owner
propriétaire,owns
oxygène,oxygen
p,p
P.M.,p.m.
Pennsylvanie,pa
pacifique,pacific
paquet,pack
forfait,package
emballé,packed
emballage,packing
page,page
pages,pages
payé,paid
Paige,paige
la douleur,pain
douloureux,painful
Peinture,paint
peint,painted
La peinture,painting
peintures,paintings
paire,pair
copain,pal
palais,palace
pâle,pale
palmier,palm
pam,pam
poêle,pan
panique,panic
halètement,panting
les pantalons,pants
papa,papa
papier,paper
papiers,papers
formalités administratives,paperwork
parade,parade
paradis,paradise
paranoïaque,paranoid
pardon,pardon
parent,parent
Parents,parents
Paris,paris
parc,park
en stationnement,parked
parker,parker
parking,parking
partie,part
particulier,particular
notamment,particularly
des soirées,parties
partenaire,partner
les partenaires,partners
les pièces,parts
faire la fête,party
passer,pass
passé,passed
passagers,passengers
col,passes
qui passe,passing
la passion,passion
passeport,passport
passé,past
tapoter,pat
correctif,patch
chemin,path
pathétique,pathetic
patience,patience
patient,patient
les patients,patients
Patrick,patrick
patrouille,patrol
motif,pattern
Paul,paul
Paula,paula
Payer,pay
payant,paying
Paiement,payment
paie,pays
paix,peace
pacifique,peaceful
perle,pearl
pipi,pee
peggy,peggy
stylo,pen
peine,penalty
pénis,penis
penny,penny
personnes,people
poivre,pepper
par,per
pour cent,percent
parfait,perfect
à la perfection,perfectly
effectuer,perform
performance,performance
parfum,perfume
peut-être,perhaps
période,period
permanent,permanent
autorisation,permission
permis,permit
poiré,perry
la personne,person
personnel,personal
personnalité,personality
personnellement,personally
personnel,personnel
personnes,persons
perspective,perspective
animaux,pet
pete,pete
Pierre,peter
petit,petty
phase,phase
Phil,phil
Philippe,philip
téléphoner,phone
Téléphone (s,phones
photo,photo
photographier,photograph
photographe,photographer
photographies,photographs
Photos,photos
physique,physical
physiquement,physically
piano,piano
prendre,pick
choisi,picked
cueillette,picking
image,picture
des photos,pictures
tarte,pie
pièce,piece
pièces,pieces
transpercer,pierce
percer,pierre
cochon,pig
les cochons,pigs
pile,pile
pilule,pill
oreiller,pillow
pilules,pills
pilote,pilot
broche,pin
rose,pink
tuyau,pipe
pisse,piss
énervé,pissed
fosse,pit
terrain,pitch
pitié,pity
pizza,pizza
place,place
mis,placed
des endroits,places
plaine,plain
planifier,plan
avion,plane
Avions,planes
planète,planet
planètes,planets
prévu,planned
Planification,planning
des plans,plans
plante,plant
planté,planted
végétaux,plants
Plastique,plastic
assiette,plate
assiettes,plates
jouer,play
joué,played
joueur,player
joueurs,players
en jouant,playing
pièces,plays
agréable,pleasant
s'il vous plaît,please
heureux,pleased
plaisir,pleasure
abondance,plenty
terrain,plot
plus,plus
PM,pm
poche,pocket
les poches,pockets
poème,poem
poète,poet
poésie,poetry
indiquer,point
points,points
poison,poison
empoisonné,poisoned
poker,poker
pôle,pole
police,police
policier,policeman
politique,policy
polonais,polish
poli,polite
politique,political
politique,politics
bassin,pool
pauvre,poor
populaire,pop
le pape,pope
pop,pops
populaire,popular
population,population
porc,pork
porno,porn
Port,port
point de point,pos
position,position
positions,positions
positif,positive
possession,possession
possibilité,possibility
possible,possible
peut-être,possibly
Publier,post
affiché,posted
pot,pot
Patate,potato
pommes de terre,potatoes
potentiel,potential
livre,pound
livres sterling,pounds
verser,pour
poudre,powder
Puissance,power
puissant,powerful
pouvoirs,powers
pratique,practical
pratiquement,practically
pratique,practice
pratiquant,practicing
louer,praise
prier,pray
prière,prayer
prières,prayers
prière,praying
précieux,precious
précisément,precisely
préfère,prefer
Enceinte,pregnant
préparer,prepare
préparé,prepared
en train de préparer,preparing
présence,presence
cadeau,present
cadeaux,presents
Président,president
presse,press
pression,pressure
faire semblant,pretend
prétendre,pretending
jolie,pretty
empêcher,prevent
précédent,previous
précédemment,previously
proie,prey
le prix,price
piquer,prick
Orgueil,pride
prêtre,priest
primaire,primary
prime,prime
prince,prince
Princesse,princess
directeur,principal
imprimer,print
tirages,prints
priorité,priority
prison,prison
prisonnier,prisoner
les prisonniers,prisoners
intimité,privacy
privé,private
prix,prize
pro,pro
Probablement,probably
problème,problem
problèmes,problems
procédure,procedure
poursuivre,proceed
traiter,process
produire,produce
produit,produced
producteur,producer
produit,product
production,production
profession,profession
professionnelle,professional
professeur,professor
profil,profile
profit,profit
programme,program
le progrès,progress
projet,project
bal de promo,prom
promettre,promise
promis,promised
promesses,promises
promotion,promotion
preuve,proof
correct,proper
correctement,properly
propriété,property
proposition,proposal
proposer,propose
procureur,prosecutor
protéger,protect
protégé,protected
protecteur,protecting
protection,protection
manifestation,protest
fier,proud
prouver,prove
prouvé,proved
apporter,provide
fourni,provided
psychique,psychic
psycho,psycho
pub,pub
Publique,public
tirer,pull
tiré,pulled
tirant,pulling
impulsion,pulse
pompe,pump
coup de poing,punch
punir,punish
puni,punished
Châtiment,punishment
punk,punk
chiot,puppy
pur,pure
violet,purple
objectif,purpose
sac,purse
pousser,push
poussé,pushed
poussée,pushing
chatte,pussy
mettre,put
put,puts
en mettant,putting
qualité,quality
trimestre,quarter
quartiers,quarters
reine,queen
question,question
interrogatoire,questioning
des questions,questions
rapide,quick
rapidement,quickly
calme,quiet
tranquillement,quietly
quinn,quinn
quitter,quit
assez,quite
Devis,quote
r,r
lapin,rabbit
course,race
Rachel,rachel
courses,racing
radar,radar
radiation,radiation
radio,radio
rage,rage
raid,raid
pluie,rain
il pleut,raining
soulever,raise
soulevé,raised
élevage,raising
ralph,ralph
RAM,ram
couru,ran
ranch,ranch
Aléatoire,random
excité,randy
intervalle,range
rangers,rangers
rap,rap
râpé,rape
violé,raped
rare,rare
rat,rat
évaluer,rate
plutôt,rather
les rats,rats
cru,raw
rayon,ray
Raymond,raymond
concernant,re
atteindre,reach
atteint,reached
réagir,react
réaction,reaction
lis,read
en train de lire,reading
prêt,ready
réel,real
prendre conscience de,realise
réalisé,realised
réalité,reality
prendre conscience de,realize
réalisé,realized
vraiment,really
arrière,rear
raison,reason
raisonnable,reasonable
les raisons,reasons
Rebecca,rebecca
rappeler,recall
recevoir,receive
reçu,received
récent,recent
récemment,recently
ACCUEIL,reception
croire,reckon
reconnaître,recognise
reconnaître,recognize
reconnu,recognized
recommander,recommend
enregistrement,record
enregistré,recorded
enregistrement,recording
enregistrements,records
récupérer,recover
rétabli,recovered
récupération,recovery
rouge,red
refuser,refuse
refusé,refused
En ce qui concerne,regarding
Région,region
S'inscrire,register
inscrit,registered
regret,regret
habituel,regular
répétition,rehearsal
en relation,related
rapports,relations
relation,relationship
des relations,relationships
relatif,relative
les proches,relatives
Détendez-vous,relax
Libération,release
publié,released
le soulagement,relief
soulagé,relieved
la religion,religion
religieux,religious
compter,rely
rester,remain
restant,remaining
restes,remains
remarquable,remarkable
rappelles toi,remember
rappelé,remembered
rappeler,remind
rappeler,reminds
télécommande,remote
retirer,remove
supprimé,removed
location,rent
réparation,repair
répéter,repeat
remplacer,replace
remplacé,replaced
rapport,report
signalé,reported
journaliste,reporter
déclaration,reporting
rapports,reports
représenter,represent
république,republic
réputation,reputation
demande,request
demandé,requested
exiger,require
obligatoire,required
a besoin,requires
sauvetage,rescue
rechercher,research
résister,resist
la résistance,resistance
Ressources,resources
respect,respect
répondre,respond
réponse,response
responsabilité,responsibility
responsable,responsible
le repos,rest
restaurant,restaurant
résultat,result
résultats,results
à la retraite,retired
battre en retraite,retreat
revenir,return
revenu,returned
retour,returning
Retour,returns
révéler,reveal
révélé,revealed
vengeance,revenge
révérend,reverend
inverse,reverse
examen,review
révolution,revolution
récompense,reward
rex,rex
rythme,rhythm
riz,rice
riche,rich
Richard,richard
meule,rick
ricky,ricky
débarrasser,rid
balade,ride
ridicule,ridiculous
équitation,riding
fusil,rifle
droit,right
droits,rights
Riley,riley
bague,ring
sonnerie,ringing
anneaux,rings
repose en paix,rip
déchiré,ripped
monter,rise
en hausse,rising
risque,risk
des risques,risks
risqué,risky
Rita,rita
rituel,ritual
fleuve,river
route,road
routes,roads
rugissement,roaring
Rob,rob
volé,robbed
vol,robbery
Robert,robert
roupler,robin
robot,robot
rock,rock
fusée,rocket
rochers,rocks
rocheux,rocky
Roger,roger
rôle,role
rouleau,roll
roulant,rolling
romain,roman
romance,romance
romantique,romantic
Rome,rome
Roméo,romeo
Ron,ron
ronnie,ronnie
toit,roof
chambre,room
colocataire,roommate
pièces,rooms
racine,root
corde,rope
Rosa,rosa
Rose,rose
des roses,roses
rosie,rosie
ross,ross
pourri,rotten
rugueux,rough
tour,round
Les manches,rounds
itinéraire,route
routine,routine
ligne,row
roy,roy
Royal,royal
frotter,rub
caoutchouc,rubber
déchets,rubbish
rubis,ruby
Impoli,rude
ruine,ruin
ruiné,ruined
régner,rule
règles,rules
grondement,rumbling
rumeur,rumor
rumeurs,rumors
Cours,run
fonctionnement,running
courses,runs
se ruer,rush
Russell,russell
Russie,russia
russe,russian
les Russes,russians
rouillé,rusty
Ruth,ruth
Ryan,ryan
s,s
s-,s-
sac,sack
sacré,sacred
sacrifice,sacrifice
triste,sad
sûr,safe
sans encombre,safely
plus sûr,safer
sécurité,safety
a dit,said
naviguer,sail
Saint,saint
Saké,sake
salade,salad
un salaire,salary
vendre,sale
Ventes,sales
sortie,sally
sel,salt
Sam,sam
Samantha,samantha
même,same
sammy,sammy
goûter,sample
échantillons,samples
San,san
le sable,sand
Sandra,sandra
