GB,FR
gloria,Gloria
glorious,glorieux
glory,gloire
gloves,gants
go,aller
goal,objectif
goat,chèvre
god,dieu
goddamn,putain
goddess,déesse
gods,dieux
goes,se rend
goin,va dans
going,Aller
gold,or
golden,d'or
golf,le golf
gone,disparu
gonna,va
good,bien
good-bye,au revoir
goodbye,au revoir
goodness,bonté
goodnight,Bonsoir
goods,des biens
goose,oie
gordon,gordon
gorgeous,magnifique
gosh,gosh
gossip,potins
got,a obtenu
gotta,Je dois
gotten,se promener
government,gouvernement
governor,gouverneur
grab,saisir
grabbed,saisi
grace,la grâce
grade,noter
graduate,diplômé
graham,graham
grand,grandiose
grandfather,grand-père
grandma,grand-mère
grandmother,grand-mère
grandpa,grand-père
grandson,petit fils
granny,mamie
grant,accorder
granted,accordé
grass,herbe
grateful,reconnaissant
grave,la tombe
gravity,la gravité
gray,grise
great,génial
greater,plus grand
greatest,le plus grand
greek,grec
green,vert
greetings,salutations
greg,greg
grew,faire grandir
grey,gris
grief,douleur
grip,saisir
groaning,gémissant
groans,gémissements
groom,marié
gross,brut
ground,terrain
grounds,terrains
group,groupe
groups,groupes
grow,grandir
growing,croissance
growling,grondement
growls,grognements
grown,cultivé
grows,grandir
grunting,grognement
grunts,grogner
guarantee,garantie
guard,gardien
guardian,Gardien
guards,gardes
guess,deviner
guessing,devinant
guest,invité
guests,invités
guide,guide
guilt,culpabilité
guilty,coupable
guitar,guitare
gum,gencive
gun,pistolet
gunfire,fusillade
guns,canons
gunshot,coup de feu
gunshots,coups de feu
gus,gus
gut,intestin
guts,entrailles
guy,mec
guys,les mecs
gym,Gym
h,H
ha,Ha
habit,habitude
had,avais
hadn,n'avoir pas
hail,grêle
hair,Cheveu
half,demi
halfway,à mi-chemin
hall,salle
halloween,Halloween
halt,arrêt
ham,jambon
hammer,marteau
han,Han
hand,main
handed,remis
handle,manipuler
handled,manipulé
handling,manutention
hands,mains
handsome,Beau
hang,pendre
hanging,suspendu
hank,hanche
hannah,Hannah
happen,se produire
happened,passé
happening,événement
happens,arrive
happier,plus heureux
happily,Heureusement
happiness,Bonheur
happy,heureux
hard,dur
harder,Plus fort
hardly,à peine
harm,préjudice
harold,Harold
harper,Harper
harris,Harris
harry,harceler
harsh,dur
harvey,Harvey
has,a
hasn,hasé
hat,chapeau
hate,détester
hated,détesté
hates,déteste
hatred,haine
have,ont
haven,havre
having,ayant
he,il
head,tête
headache,mal de tête
headed,à tête
heading,titre
headquarters,quartier général
heads,têtes
heal,guérir
health,santé
healthy,en bonne santé
hear,écouter
heard,entendu
hearing,audience
heart,cœur
hearts,cœurs
heat,Chauffer
heather,chauffage
heaven,paradis
heavens,cieux
heavily,fortement
heavy,lourd
heck,Zut
hector,Hector
heels,talons
heh,il h
height,la taille
held,tenu
helen,Helen
helicopter,hélicoptère
hell,enfer
hello,bonjour
helmet,casque
help,aider
helped,aidé
helpful,utile
helping,portion
helps,aider
henry,Henri
her,son
hercules,Hercule
here,ici
hero,héros
heroes,héros
heroin,héroïne
herr,Herr
hers,la sienne
herself,se
hey,hé
hi,salut
hid,se cacher
hidden,caché
hide,cacher
hiding,cache
high,haute
higher,plus haut
highest,le plus élevé
highly,très
highness,altesse
highway,Autoroute
hill,colline
hills,collines
him,lui
himself,lui-même
hip,hanche
hire,embaucher
hired,embauché
his,le sien
history,l'histoire
hit,succès
hitler,Hitler
hits,les coups
hitting,frappe
hm,HM
hmm,hmm
ho,ho
hold,tenir
holding,holding
holds,cale
hole,trou
holes,des trous
holiday,vacance
holidays,vacances
holly,houx
hollywood,Hollywood
holmes,Holmes
holy,saint
home,domicile
homeless,sans-abri
homer,Homère
homes,maisons
homework,devoirs
homicide,homicide
hon,son
honest,honnête
honestly,franchement
honey,Miel
honeymoon,voyage de noces
hong,hong
honking,klaxon
honor,honneur
honored,honoré
honour,honneur
hood,capot
hook,accrocher
hooked,accroché
hop,saut
hope,espoir
hoped,espéré
hopefully,avec un peu de chance
hopeless,désespéré
hopes,espoir
hoping,en espérant
horn,klaxon
horrible,horrible
horror,horreur
horse,cheval
horses,les chevaux
hospital,hôpital
host,héberger
hostage,otage
hot,chaud
hotel,Hôtel
hour,heure
hours,heures
house,loger
houses,Maisons
how,comment
howard,howard
however,toutefois
hug,étreinte
huge,énorme
huh,hein
human,Humain
humanity,humanité
humans,humains
humble,humble
humming,bourdonnement
humor,humour
hundred,cent
hundreds,centaines
hung,suspendu
hunger,faim
hungry,faim
hunt,chasse
hunter,chasseur
hunting,chasse
hurry,dépêche toi
hurt,blesser
hurting,blessé
hurts,fait mal
husband,mari
hut,cabane
i,je
i,je
i-,je-
i-i,i-i
i.,je.
i.d.,identifiant.
I'm,je suis
i've,j'ai
ian,Ian
ice,la glace
id,identifiant
idea,idée
ideal,idéal
ideas,idées
identified,identifié
identify,identité
identity,identité
idiot,idiot
idiots,idiots
if,si
ignore,ignorer
ii,ii
ii,ii
iike,iike
ill,malade
illegal,illégal
illness,maladies
image,image
images,images
imagination,imagination
imagine,imaginer
imagined,imaginé
immediate,immédiat
immediately,immédiatement
immunity,immunité
impact,impact
imperial,impérial
importance,importance
important,important
impossible,impossible
impress,impressionner
impressed,impressionné
impression,impression
impressive,Impressionant
improve,améliorer
in,dans
inch,pouce
inches,pouces
incident,incident
include,comprendre
including,y compris
increase,augmenter
incredible,incroyable
incredibly,incroyablement
indeed,En effet
independent,indépendant
india,Inde
indian,Indien
indians,Indiens
indistinct,indistinct
indistinctly,indistinctement
individual,individuel
industry,industrie
infected,infecté
infection,infection
influence,rayonnement
inform,informer
information,informations
informed,informé
injured,blessée
injuries,blessures
injury,blessure
inn,auberge
inner,intérieur
innocent,innocent
insane,fou
inside,à l'intérieur
insist,insister
insisted,insisté
inspector,inspecteur
inspired,inspiré
instance,exemple
instant,instantané
instead,Au lieu
instructions,des instructions
instrumental,instrumental
insult,insulte
insurance,Assurance
intelligence,intelligence
intelligent,intelligente
intend,intention
intended,prévu
intense,intense
intention,intention
interest,intérêt
interested,intéressé
interesting,intéressant
interests,intérêts
interfere,interférer
internal,interne
international,international
internet,l'Internet
interrupt,couper la parole
interview,interview
into,dans
introduce,introduire
introduced,présenté
invented,a inventé
investigate,enquêter
investigating,enquêteur
investigation,enquête
investment,investissement
invisible,invisible
invitation,invitation
invite,inviter
invited,invité
involved,impliqué
iraq,Irak
irish,irlandais
iron,le fer
is,est
island,île
islands,îles
isn,norme
israel,Israël
issue,publier
issues,problèmes
it,ce
italian,italien
italy,Italie
item,Objet
items,éléments
its,son
itself,lui-même
ivan,Ivan
j,J
jack,jack
jacket,veste
jackie,jackie
jackson,Jackson
jacob,Jacob
jail,prison
jake,jake
jam,Confiture
james,James
jamie,Jamie
jane,Jeanne
janet,Janet
january,janvier
japan,Japon
japanese,Japonais
jason,Jason
jay,geai
jazz,le jazz
jealous,jaloux
jean,jean
jeez,bonder
jeff,Jeff
jen,Jen
jenna,jenna
jennifer,Jennifer
jenny,Jenny
jeremy,jeremy
jerk,secousse
jerry,jerry
jersey,Jersey
jess,Jess
jesse,Jesse
jessica,Jessica
jesus,Jésus
jet,jet
jew,Juif
jewelry,bijoux
jewish,juif
jews,les Juifs
jill,jill
jim,Jim
jimmy,Jimmy
jin,Jin
jo,Jo
joan,Joan
job,travail
jobs,travaux
joe,Joe
joey,Joey
john,Jean
johnny,Johnny
johnson,Johnson
join,rejoindre
joined,joint
joining,joindre
joint,découper
joke,plaisanter
jokes,blagues
joking,plaisanterie
jon,Jon
jonathan,Jonathan
jones,Jones
jordan,Jordan
joseph,Joseph
josh,Josh
journalist,journaliste
journey,périple
joy,joie
juan,juan
judge,juge
judges,juges
judging,jugement
judgment,jugement
judy,Judy
juice,jus
jules,jules
julia,Julia
julian,julien
julie,Julie
july,juillet
jump,saut
jumped,sauté
jumping,saut
june,juin
jungle,jungle
junior,junior
junk,déchet
jury,jury
just,juste
just-,juste-
justice,Justice
justin,Justin
k,k
kang,kang
karen,Karen
karl,karl
kate,Kate
katie,Katie
keen,enthousiaste
keep,donjon
keeping,en gardant
keeps,garder
keith,Keith
kelly,kelly
ken,ken
kenny,Kenny
kent,Kent
kept,gardé
kevin,Kevin
key,clé
keys,clés
khan,khan
kick,donner un coup
kicked,botté
kicking,coup de pied
kid,enfant
kidding,plaisanter
kidnapped,kidnappé
kidnapping,enlèvement
kids,des gamins
kill,tuer
killed,tué
killer,tueur
killers,tueurs
killing,meurtre
kills,tueries
kim,kim
kind,gentil
kinda,en quelque sorte
kindly,gentil
kindness,la gentillesse
kinds,type
king,Roi
kingdom,Royaume
kings,rois
kiss,embrasser
kissed,embrassé
kisses,baisers
kissing,baiser
kit,trousse
kitchen,cuisine
kitty,minou
knee,genou
knees,genoux
knew,connaissait
knife,couteau
knight,Chevalier
knock,frappe
knocked,frappé
knocking,cognement
know,connaître
knowing,connaissance
knowledge,connaissances
known,connu
knows,sache
kong,kong
korea,Corée
korean,coréen
kurt,kurt
kyle,kyle
l,l
l.a.,la.
la,la
lab,laboratoire
labor,travail
lack,manque
lad,garçon
ladder,échelle
ladies,Dames
lads,femelles
lady,la demoiselle
laid,posé
lake,Lac
lamb,agneau
lame,boiteux
lamp,lampe
lance,lance
land,terrain
landed,a atterri
landing,un atterrissage
lands,terres
lane,voie
language,Langue
lap,tour
large,grand
larger,plus grande
largest,le plus grand
larry,larry
last,dernière
late,en retard
lately,dernièrement
later,plus tard
latest,dernier
latin,Latin
laugh,rire
laughed,rire
laughing,riant
laughs,des rires
laughter,rire
launch,lancement
laundry,lessive
laura,Laura
lauren,Lauren
law,droit
lawrence,Lawrence
laws,lois
lawyer,avocat
lawyers,avocats
lay,allonger
laying,pose
lazy,paresseux
le,le
lead,conduire
leader,chef
leaders,dirigeants
leading,premier
leads,pistes
league,ligue
leak,fuite
lean,maigre
learn,apprendre
learned,appris
learning,apprentissage
least,moins
leather,cuir
leave,Pars
leaves,feuilles
leaving,en quittant
lecture,conférence
led,LED
lee,percevoir
left,la gauche
leg,jambe
legal,juridique
legend,Légende
legs,les jambes
lemon,citron
lend,prêter
leo,Leo
leon,leon
leonard,léonard
leslie,Leslie
less,moins
lesson,leçon
lessons,cours
let,laisser
lets,laisse
letter,lettre
letters,des lettres
letting,location
level,niveau
levels,niveaux
lewis,Lewis
lf,LF
li,li
liam,liam
liar,menteur
liberty,liberté
library,bibliothèque
license,Licence
lie,mentir
lied,menti
lies,mensonges
lieutenant,lieutenant
life,la vie
lifetime,durée de vie
lift,lever
light,lumière
lighter,plus léger
lightning,éclair
lights,lumières
like,Comme
liked,aimé
likely,probable
likes,aime
lily,lis
limit,limite
limited,limité
limits,limites
lincoln,Lincoln
linda,linda
line,ligne
lines,lignes
link,lien
lion,lion
lip,lèvre
lips,lèvres
liquid,liquide
liquor,alcool
lisa,Lisa
list,liste
listen,Ecoutez
listened,écouté
listening,écoute
lit,éclairé
literally,au sens propre
little,peu
live,Direct
lived,vivait
liver,foie
lives,des vies
living,vivant
liz,Liz
ll,ll
lloyd,lloyd
ln,LN
lo,à
load,charger
loaded,chargé
loan,prêt
local,local
located,situé
location,emplacement
lock,bloquer
locked,fermé à clé
locker,casier
log,Journal
logan,Logan
lois,Lois
london,Londres
lonely,solitaire
long,long
longer,plus long
look,voir
looked,avoir regardé
lookin,regarder dans
looking,en regardant
looks,regards
loose,ample
lord,seigneur
los,los
lose,perdre
loser,perdant
loses,perdus
losing,perdant
loss,perte
lost,perdu
lot,parcelle
lots,beaucoup
lou,louche
loud,fort
louder,Plus fort
louis,Louis
louise,Louise
lousy,pouilleux
love,aimer
loved,aimé
lovely,joli
lover,amoureux
lovers,les amoureux
loves,amours
loving,aimant
low,bas
lower,plus bas
loyal,loyal
loyalty,loyauté
ls,LS
lt,LT
lucas,Lucas
luck,chance
luckily,Heureusement
lucky,chanceux
lucy,Lucy
luggage,bagage
luke,luck
lunch,déjeuner
lung,poumon
lungs,poumons
lying,mensonge
m,m
ma,mâle
mac,Mac
machine,machine
machines,Machines
mad,fou
madam,madame
madame,Madame
made,fabriqué
madness,la démence
magazine,magazine
maggie,Maggie
magic,la magie
magical,magique
magnificent,magnifique
maid,Femme de ménage
mail,courrier
main,principale
maintain,maintenir
majesty,majesté
major,Majeur
make,Fabriquer
makes,fait du
makeup,se maquiller
making,fabrication
malcolm,malcolm
male,Masculin
mall,centre commercial
mama,maman
man,homme
manage,faire en sorte
managed,géré
management,la gestion
manager,gestionnaire
mankind,humanité
manner,manière
manners,manières
many,de nombreux
map,carte
march,Mars
marco,marco
marcus,marcus
margaret,margaret
maria,Maria
marie,Marie
marine,Marin
mario,Mario
mark,marque
marked,marqué
market,marché
marks,Des marques
marriage,mariage
married,marié
marry,marier
marrying,se marier
mars,Mars
marshal,maréchal
marshall,maréchal
martha,Martha
martial,martial
martin,Martin
marty,Marty
mary,Marie
mask,masque
mason,le maçon
mass,Masse
massage,massage
massive,massif
master,Maître
masters,maîtrise
match,match
matches,allumettes
mate,camarade
material,Matériel
math,math
matt,mat
matter,question
matters,questions
matthew,Matthieu
max,max
may,peut
maya,Maya
maybe,peut être
mayor,maire
me,moi
meal,repas
mean,moyenne
meaning,sens
means,moyens
meant,censé
meantime,entre temps
meanwhile,pendant ce temps
measure,mesure
meat,Viande
medal,médaille
media,médias
medical,médical
medication,médicament
medicine,Médicament
meet,rencontrer
meeting,Rencontre
meetings,réunions
megan,Megan
mel,mel
melissa,mélisse
member,membre
members,membres
memories,souvenirs
memory,Mémoire
men,Hommes
mental,mental
mention,mention
mentioned,mentionné
menu,menu
mercy,miséricorde
mere,simple
merely,seulement
merry,joyeux
mess,désordre
message,message
messages,messages
messed,fous
messing,désordre
met,rencontré
metal,métal
meters,mètres
method,méthode
mexican,mexicain
mexico,Mexique
mi,mi
mia,mia
miami,Miami
michael,Michael
michelle,Michelle
mickey,Mickey
middle,milieu
midnight,minuit
might,force
mighty,puissant
mike,Mike
mile,mile
miles,kilomètres
military,militaire
milk,Le Lait
miller,meunier
million,million
millions,des millions
mind,dérange
minds,esprit
mine,mien
minister,ministre
minor,mineure
minute,minute
minutes,minutes
miracle,miracle
mirror,miroir
miserable,misérable
misery,misère
miss,Mademoiselle
missed,manqué
missing,disparu
mission,mission
mistake,erreur
mistaken,se tromper
mistakes,erreurs
mister,Monsieur
mistress,maîtresse
misunderstanding,malentendu
mitch,mitch
mitchell,Mitchell
mix,mélanger
mixed,mixte
mm,MM
mm-hm,mm-hm
mm-hmm,mm-hmm
mmm,mmm
mmm-hmm,mmm-hmm
mo,MO
moaning,gémissant
mob,foule
mobile,portable
model,maquette
models,des modèles
modern,moderne
molly,Molly
mom,maman
moment,moment
moments,des moments
mommy,maman
mon,lun
monday,Lundi
money,argent
monica,monica
monitor,moniteur
monk,moine
monkey,singe
monsieur,Monsieur
monster,monstre
monsters,monstres
month,mois
months,mois
mood,ambiance
moon,lune
moral,moral
more,Suite
morgan,Morgan
morning,Matin
moron,imbécile
moscow,Moscou
most,plus
mostly,la plupart
motel,motel
mother,mère
motherfucker,connard
mothers,mères
motion,mouvement
motive,motif
motor,moteur
motorcycle,moto
mount,monter
mountain,Montagne
mountains,montagnes
mouse,Souris
mouth,bouche
move,mouvement
moved,déplacé
movement,mouvement
moves,se déplace
movie,film
movies,films
moving,en mouvement
mr,m
mr.,m.
mrs,Madame
mrs.,Madame.
ms,Mme
ms.,m / s.
much,beaucoup
mud,boue
muffled,étouffé
multiple,plusieurs
mum,maman
mummy,Momie
murder,meurtre
murdered,assassiné
murderer,meurtrier
murders,meurtres
murphy,Murphy
muscle,le muscle
museum,musée
music,musique
musical,musical
must,devoir
mustn,incontournable
my,ma
myself,moi même
mysterious,mystérieux
mystery,mystère
n,n
na,n / A
nah,non
nail,clou
nails,clous
naked,nu
name,Nom
named,nommé
names,des noms
nancy,nancy
nanny,nounou
nap,sieste
narrator,narrateur
narrow,étroit
nasty,méchant
natalie,natalie
nate,nate
nathan,Nathan
nation,nation
national,nationale
native,originaire de
natural,Naturel
naturally,naturellement
nature,la nature
naughty,vilain
navy,marine
near,à proximité
nearby,tout près d'ici
nearly,presque
neat,soigné
necessarily,nécessairement
necessary,nécessaire
neck,cou
necklace,Collier
ned,ned
need,besoin
needed,nécessaire
needle,aiguille
needs,Besoins
negative,négatif
neighbor,voisine
neighborhood,quartier
neighbors,voisins
neil,neil
neither,ni
nelson,Nelson
nephew,neveu
nerve,nerf
nerves,nerfs
nervous,nerveux
nest,nid
net,rapporter
network,réseau
never,jamais
new,Nouveau
news,nouvelles
newspaper,un journal
newspapers,journaux
next,Suivant
nice,agréable
nicely,bien
nick,pseudo
nicole,Nicole
niece,la nièce
nigga,nigga
night,nuit
nightmare,cauchemar
nights,nuits
nina,Nina
nine,neuf
no,non
no-one,personne
no.,non.
noah,Noé
noble,noble
nobody,personne
noise,bruit
none,rien
nonsense,absurdité
noon,midi
nope,Nan
nor,ni
nora,nora
normal,Ordinaire
normally,normalement
norman,normand
north,Nord
northern,nord
nose,nez
not,ne pas
note,Remarque
notes,Remarques
nothin,rien
nothing,rien
notice,remarquer
noticed,remarqué
novel,roman
november,novembre
now,à présent
nowadays,de nos jours
nowhere,nulle part
nuclear,nucléaire
number,Numéro
numbers,Nombres
nurse,infirmière
nut,noix
nuts,des noisettes
o,o
oath,serment
obey,obéit
object,objet
objection,objection
objects,objets
observe,observer
obsessed,obsédé
obvious,évident
obviously,évidemment
occasion,occasion
occurred,eu lieu
ocean,océan
october,octobre
odd,étrange
odds,chances
of,de
off,à l'arrêt
offense,infraction
offer,offrir
offered,offert
offering,offre
office,Bureau
officer,officier
officers,officiers
official,officiel
officially,officiellement
often,souvent
oh,oh
ohh,ohh
oi,oi
oil,pétrole
ok,d'accord
okay,d'accord
old,Agé de
older,plus âgée
oldest,le plus ancien
oliver,Oliver
olivia,Olivia
on,sur
once,une fois que
one,une
ones,ceux
online,en ligne
only,seulement
onto,sur
ooh,ooh
oops,Oops
open,ouvert
opened,ouvert
opening,ouverture
opens,ouvrir
opera,opéra
operate,fonctionner
operating,en fonctionnement
operation,opération
operations,opérations
operator,opérateur
opinion,opinion
opportunity,occasion
opposite,opposé
option,option
options,options
or,ou
orange,orange
order,ordre
ordered,commandé
orders,ordres
ordinary,ordinaire
organization,organisme
organized,organisé
original,original
oscar,oscar
other,autre
others,les autres
otherwise,Par ailleurs
ouch,Aie
ought,devrait
our,notre
ours,les notres
ourselves,nous-mêmes
out,dehors
outfit,tenue
outside,à l'extérieur
outta,sortir
oven,four
over,plus de
overnight,pendant la nuit
ow,ow
owe,devoir
owen,owen
own,posséder
owned,propriétaire
owner,propriétaire
owns,propriétaire
oxygen,oxygène
p,p
p.m.,P.M.
pa,Pennsylvanie
pacific,pacifique
pack,paquet
package,forfait
packed,emballé
packing,emballage
page,page
pages,pages
paid,payé
paige,Paige
pain,la douleur
painful,douloureux
paint,Peinture
painted,peint
painting,La peinture
paintings,peintures
pair,paire
pal,copain
palace,palais
pale,pâle
palm,palmier
pam,pam
pan,poêle
panic,panique
panting,halètement
pants,les pantalons
papa,papa
paper,papier
papers,papiers
paperwork,formalités administratives
parade,parade
paradise,paradis
paranoid,paranoïaque
pardon,pardon
parent,parent
parents,Parents
paris,Paris
park,parc
parked,en stationnement
parker,parker
parking,parking
part,partie
particular,particulier
particularly,notamment
parties,des soirées
partner,partenaire
partners,les partenaires
parts,les pièces
party,faire la fête
pass,passer
passed,passé
passengers,passagers
passes,col
passing,qui passe
passion,la passion
passport,passeport
past,passé
pat,tapoter
patch,correctif
path,chemin
pathetic,pathétique
patience,patience
patient,patient
patients,les patients
patrick,Patrick
patrol,patrouille
pattern,motif
paul,Paul
paula,Paula
pay,Payer
paying,payant
payment,Paiement
pays,paie
peace,paix
peaceful,pacifique
pearl,perle
pee,pipi
peggy,peggy
pen,stylo
penalty,peine
penis,pénis
penny,penny
people,personnes
pepper,poivre
per,par
percent,pour cent
perfect,parfait
perfectly,à la perfection
perform,effectuer
performance,performance
perfume,parfum
perhaps,peut-être
period,période
permanent,permanent
permission,autorisation
permit,permis
perry,poiré
person,la personne
personal,personnel
personality,personnalité
personally,personnellement
personnel,personnel
persons,personnes
perspective,perspective
pet,animaux
pete,pete
peter,Pierre
petty,petit
phase,phase
phil,Phil
philip,Philippe
phone,téléphoner
phones,Téléphone (s
photo,photo
photograph,photographier
photographer,photographe
photographs,photographies
photos,Photos
physical,physique
physically,physiquement
piano,piano
pick,prendre
picked,choisi
picking,cueillette
picture,image
pictures,des photos
pie,tarte
piece,pièce
pieces,pièces
pierce,transpercer
pierre,percer
pig,cochon
pigs,les cochons
pile,pile
pill,pilule
pillow,oreiller
pills,pilules
pilot,pilote
pin,broche
pink,rose
pipe,tuyau
piss,pisse
pissed,énervé
pit,fosse
pitch,terrain
pity,pitié
pizza,pizza
place,place
placed,mis
places,des endroits
plain,plaine
plan,planifier
plane,avion
planes,Avions
planet,planète
planets,planètes
planned,prévu
planning,Planification
plans,des plans
plant,plante
planted,planté
plants,végétaux
plastic,Plastique
plate,assiette
plates,assiettes
play,jouer
played,joué
player,joueur
players,joueurs
playing,en jouant
plays,pièces
pleasant,agréable
please,s'il vous plaît
pleased,heureux
pleasure,plaisir
plenty,abondance
plot,terrain
plus,plus
pm,PM
pocket,poche
pockets,les poches
poem,poème
poet,poète
poetry,poésie
point,indiquer
points,points
poison,poison
poisoned,empoisonné
poker,poker
pole,pôle
police,police
policeman,policier
policy,politique
polish,polonais
polite,poli
political,politique
politics,politique
pool,bassin
poor,pauvre
pop,populaire
pope,le pape
pops,pop
popular,populaire
population,population
pork,porc
porn,porno
port,Port
pos,point de point
position,position
positions,positions
positive,positif
possession,possession
possibility,possibilité
possible,possible
possibly,peut-être
post,Publier
posted,affiché
pot,pot
potato,Patate
potatoes,pommes de terre
potential,potentiel
pound,livre
pounds,livres sterling
pour,verser
powder,poudre
power,Puissance
powerful,puissant
powers,pouvoirs
practical,pratique
practically,pratiquement
practice,pratique
practicing,pratiquant
praise,louer
pray,prier
prayer,prière
prayers,prières
praying,prière
precious,précieux
precisely,précisément
prefer,préfère
pregnant,Enceinte
prepare,préparer
prepared,préparé
preparing,en train de préparer
presence,présence
present,cadeau
presents,cadeaux
president,Président
press,presse
pressure,pression
pretend,faire semblant
pretending,prétendre
pretty,jolie
prevent,empêcher
previous,précédent
previously,précédemment
prey,proie
price,le prix
prick,piquer
pride,Orgueil
priest,prêtre
primary,primaire
prime,prime
prince,prince
princess,Princesse
principal,directeur
print,imprimer
prints,tirages
priority,priorité
prison,prison
prisoner,prisonnier
prisoners,les prisonniers
privacy,intimité
private,privé
prize,prix
pro,pro
probably,Probablement
problem,problème
problems,problèmes
procedure,procédure
proceed,poursuivre
process,traiter
produce,produire
produced,produit
producer,producteur
product,produit
production,production
profession,profession
professional,professionnelle
professor,professeur
profile,profil
profit,profit
program,programme
progress,le progrès
project,projet
prom,bal de promo
promise,promettre
promised,promis
promises,promesses
promotion,promotion
proof,preuve
proper,correct
properly,correctement
property,propriété
proposal,proposition
propose,proposer
prosecutor,procureur
protect,protéger
protected,protégé
protecting,protecteur
protection,protection
protest,manifestation
proud,fier
prove,prouver
proved,prouvé
provide,apporter
provided,fourni
psychic,psychique
psycho,psycho
pub,pub
public,Publique
pull,tirer
pulled,tiré
pulling,tirant
pulse,impulsion
pump,pompe
punch,coup de poing
punish,punir
punished,puni
punishment,Châtiment
punk,punk
puppy,chiot
pure,pur
purple,violet
purpose,objectif
purse,sac
push,pousser
pushed,poussé
pushing,poussée
pussy,chatte
put,mettre
puts,put
putting,en mettant
quality,qualité
quarter,trimestre
quarters,quartiers
queen,reine
question,question
questioning,interrogatoire
questions,des questions
quick,rapide
quickly,rapidement
quiet,calme
quietly,tranquillement
quinn,quinn
quit,quitter
quite,assez
quote,Devis
r,r
rabbit,lapin
race,course
rachel,Rachel
racing,courses
radar,radar
radiation,radiation
radio,radio
rage,rage
raid,raid
rain,pluie
raining,il pleut
raise,soulever
raised,soulevé
raising,élevage
ralph,ralph
ram,RAM
ran,couru
ranch,ranch
random,Aléatoire
randy,excité
range,intervalle
rangers,rangers
rap,rap
rape,râpé
raped,violé
rare,rare
rat,rat
rate,évaluer
rather,plutôt
rats,les rats
raw,cru
ray,rayon
raymond,Raymond
re,concernant
reach,atteindre
reached,atteint
react,réagir
reaction,réaction
read,lis
reading,en train de lire
ready,prêt
real,réel
realise,prendre conscience de
realised,réalisé
reality,réalité
realize,prendre conscience de
realized,réalisé
really,vraiment
rear,arrière
reason,raison
reasonable,raisonnable
reasons,les raisons
rebecca,Rebecca
recall,rappeler
receive,recevoir
received,reçu
recent,récent
recently,récemment
reception,ACCUEIL
reckon,croire
recognise,reconnaître
recognize,reconnaître
recognized,reconnu
recommend,recommander
record,enregistrement
recorded,enregistré
recording,enregistrement
records,enregistrements
recover,récupérer
recovered,rétabli
recovery,récupération
red,rouge
refuse,refuser
refused,refusé
regarding,En ce qui concerne
region,Région
register,S'inscrire
registered,inscrit
regret,regret
regular,habituel
rehearsal,répétition
related,en relation
relations,rapports
relationship,relation
relationships,des relations
relative,relatif
relatives,les proches
relax,Détendez-vous
release,Libération
released,publié
relief,le soulagement
relieved,soulagé
religion,la religion
religious,religieux
rely,compter
remain,rester
remaining,restant
remains,restes
remarkable,remarquable
remember,rappelles toi
remembered,rappelé
remind,rappeler
reminds,rappeler
remote,télécommande
remove,retirer
removed,supprimé
rent,location
repair,réparation
repeat,répéter
replace,remplacer
replaced,remplacé
report,rapport
reported,signalé
reporter,journaliste
reporting,déclaration
reports,rapports
represent,représenter
republic,république
reputation,réputation
request,demande
requested,demandé
require,exiger
required,obligatoire
requires,a besoin
rescue,sauvetage
research,rechercher
resist,résister
resistance,la résistance
resources,Ressources
respect,respect
respond,répondre
response,réponse
responsibility,responsabilité
responsible,responsable
rest,le repos
restaurant,restaurant
result,résultat
results,résultats
retired,à la retraite
retreat,battre en retraite
return,revenir
returned,revenu
returning,retour
returns,Retour
reveal,révéler
revealed,révélé
revenge,vengeance
reverend,révérend
reverse,inverse
review,examen
revolution,révolution
reward,récompense
rex,rex
rhythm,rythme
rice,riz
rich,riche
richard,Richard
rick,meule
ricky,ricky
rid,débarrasser
ride,balade
ridiculous,ridicule
riding,équitation
rifle,fusil
right,droit
rights,droits
riley,Riley
ring,bague
ringing,sonnerie
rings,anneaux
rip,repose en paix
ripped,déchiré
rise,monter
rising,en hausse
risk,risque
risks,des risques
risky,risqué
rita,Rita
ritual,rituel
river,fleuve
road,route
roads,routes
roaring,rugissement
rob,Rob
robbed,volé
robbery,vol
robert,Robert
robin,roupler
robot,robot
rock,rock
rocket,fusée
rocks,rochers
rocky,rocheux
roger,Roger
role,rôle
roll,rouleau
rolling,roulant
roman,romain
romance,romance
romantic,romantique
rome,Rome
romeo,Roméo
ron,Ron
ronnie,ronnie
roof,toit
room,chambre
roommate,colocataire
rooms,pièces
root,racine
rope,corde
rosa,Rosa
rose,Rose
roses,des roses
rosie,rosie
ross,ross
rotten,pourri
rough,rugueux
round,tour
rounds,Les manches
route,itinéraire
routine,routine
row,ligne
roy,roy
royal,Royal
rub,frotter
rubber,caoutchouc
rubbish,déchets
ruby,rubis
rude,Impoli
ruin,ruine
ruined,ruiné
rule,régner
rules,règles
rumbling,grondement
rumor,rumeur
rumors,rumeurs
run,Cours
running,fonctionnement
runs,courses
rush,se ruer
russell,Russell
russia,Russie
russian,russe
russians,les Russes
rusty,rouillé
ruth,Ruth
ryan,Ryan
s,s
s-,s-
sack,sac
sacred,sacré
sacrifice,sacrifice
sad,triste
safe,sûr
safely,sans encombre
safer,plus sûr
safety,sécurité
said,a dit
sail,naviguer
saint,Saint
sake,Saké
salad,salade
salary,un salaire
sale,vendre
sales,Ventes
sally,sortie
salt,sel
sam,Sam
